96 ---- 1.6939980022418518e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
97 ---- 5.09617839567202e+19 ---- [[2.0, 3.142857142857143], [-3.571428571428571, -2.142857142857143], [3.571428571428571, 5.0], [7.142857142857142, 10.0], [1.3, 1.6]]
98 ---- 484673343347.6968 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [-10.0, -7.142857142857142], [1.3, 1.6]]
99 ---- 162249323911.06537 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
100 ---- 35302882441.78633 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
101 ---- 370775953.5863933 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
102 ---- 10888540200.168846 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
103 ---- 120663890096.62509 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
104 ---- 850512952281.2128 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-5.0, -3.571428571428571], [7.142857142857142, 10.0], [1.3, 1.6]]
105 ---- 586572834305.36 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [-10.0, -7.142857142857142], [1.3, 1.6]]
106 ---- 220598725739.98032 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
107 ---- 49675041615.48073 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
108 ---- 64646771.6862511 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
109 ---- 12934876818.024132 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
110 ---- 210130669882.68414 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
111 ---- 380438102116.99817 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [1.3, 1.6]]
112 ---- 613245468492.4899 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [1.3, 1.6]]
113 ---- 222158231061.0514 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.3, 1.6]]
114 ---- 33247766741.306133 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [-4.285714285714286, -1.4285714285714288], [1.3, 1.6]]
115 ---- 682504750.7170308 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [-1.4285714285714288, 1.4285714285714288], [1.3, 1.6]]
116 ---- 43543725781.58302 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [1.4285714285714288, 4.2857142857142865], [1.3, 1.6]]
117 ---- 117832067589.40657 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [4.2857142857142865, 7.142857142857142], [1.3, 1.6]]
118 ---- 353376065924.2801 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-2.142857142857143, -0.7142857142857144], [7.142857142857142, 10.0], [1.3, 1.6]]
119 ---- 322352732478.78204 ---- [[2.0, 3.142857142857143], [-2.142857142857143, -0.7142857142857144], [-0.7142857142857144, 0.7142857142857144], [-10.0, -7.142857142857142], [1.3, 1.6]]
