93 ---- 6.764233491611421e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [1.4285714285714286, 2.142857142857143]]
94 ---- 1.7930798560352437e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [2.142857142857143, 2.857142857142857]]
95 ---- 5.586205650966083e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [2.857142857142857, 3.5714285714285716]]
96 ---- 1.206224674475093e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [3.5714285714285716, 4.285714285714286]]
97 ---- 1148203038487406.0 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-3.571428571428571, -2.142857142857143], [7.142857142857142, 10.0], [4.285714285714286, 5.0]]
98 ---- 5.69589316057965e+30 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [0.0, 0.7142857142857143]]
99 ---- 1.9279369246578147e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [0.7142857142857143, 1.4285714285714286]]
100 ---- 1.86169150225929e+26 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [1.4285714285714286, 2.142857142857143]]
101 ---- 7.614707328713327e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [2.142857142857143, 2.857142857142857]]
102 ---- 5.867445610705221e+20 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [2.857142857142857, 3.5714285714285716]]
103 ---- 1.5940000675069343e+18 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [3.5714285714285716, 4.285714285714286]]
104 ---- 1984376573865019.5 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-10.0, -7.142857142857142], [4.285714285714286, 5.0]]
105 ---- 2.0293943517727366e+31 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [0.0, 0.7142857142857143]]
106 ---- 1.2134184560557777e+28 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [0.7142857142857143, 1.4285714285714286]]
107 ---- 5.26031214426509e+25 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [1.4285714285714286, 2.142857142857143]]
108 ---- 1.2486668330009307e+23 ---- [[2.0, 3.142857142857143], [-5.0, -3.571428571428571], [-2.142857142857143, -0.7142857142857144], [-7.142857142857142, -4.285714285714286], [2.142857142857143, 2.857142857142857]]
