45 ---- 841.3768896905503 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
46 ---- 822.1832076397652 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
46 ---- 583.8586928494149 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
47 ---- 609.2901169742481 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
47 ---- 631.390698919515 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
48 ---- 357.2409372604967 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
49 ---- 566.8782187024063 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
48 ---- 1464.205306171153 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
49 ---- 556.7889435373725 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
50 ---- 1024.0598082419435 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
50 ---- 781.6015128343668 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
50 ---- 1060.290142478729 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
50 ---- 966.2262974070355 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
51 ---- 783.0394190657179 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
51 ---- 1245.5680774439318 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
52 ---- 1045.5927743069794 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
53 ---- 123.03113541757656 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
51 ---- 161.48881055174166 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
54 ---- 1591.5648013048562 ---- [[3.3333333333333335, 6.666666666666667], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
52 ---- 145.38426630332697 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
53 ---- 123.60084372115206 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
54 ---- 89.05814954869996 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
55 ---- 165.28857874650876 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
55 ---- 144.6172857629673 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
56 ---- 80.94569478524804 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
56 ---- 103.21517538416747 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
56 ---- 172.1479537171958 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
56 ---- 144.32288886993447 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
57 ---- 144.32543058206278 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
56 ---- 137.4428912320165 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
58 ---- 95.85287318924259 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
59 ---- 73.28824728197245 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
60 ---- 293.6704506986614 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
60 ---- 115.05096579908806 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
61 ---- 114.81536254189082 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
62 ---- 332.9100672060747 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
63 ---- 85.67189702829626 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
64 ---- 332.92137495549554 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
64 ---- 188.57058344466398 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-10.0, -3.333333333333333]]
65 ---- 101.12708574898923 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334]]
66 ---- 171.44587013329692 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [-3.333333333333333, 3.333333333333334]]
66 ---- 189.29908945604095 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0]]
67 ---- 149.8354336633679 ---- [[3.3333333333333335, 6.666666666666667], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333]]
67 ---- 113.38537620642599 ---- [[3.3333333333333335, 6.666666666666667], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [3.333333333333334, 10.0]]
67 ---- 123.72242549852349 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [3.333333333333334, 10.0]]
68 ---- 117.45945383008171 ---- [[3.3333333333333335, 6.666666666666667], [-3.333333333333333, 3.333333333333334], [3.333333333333334, 10.0], [3.333333333333334, 10.0], [-10.0, -3.333333333333333]]
69 ---- 136.13633726922774 ---- [[3.3333333333333335, 6.666666666666667], [3.333333333333334, 10.0], [-10.0, -3.333333333333333], [-10.0, -3.333333333333333], [-3.333333333333333, 3.333333333333334]]
