100 ---- 11845.556155887212 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [-1.0204081632653095, 5.102040816326527]]
101 ---- 6919.109067690853 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [11.224489795918362, 17.3469387755102]]
102 ---- 5548.992262375908 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [17.3469387755102, 23.469387755102037]]
103 ---- 3646.347793717074 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [23.469387755102037, 29.59183673469387]]
104 ---- 9445.856878107861 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [-7.142857142857146, -1.0204081632653095]]
104 ---- 2206.540179955088 ---- [[4.081632653061225, 6.122448979591837], [29.59183673469387, 35.71428571428571], [29.59183673469387, 35.71428571428571]]
105 ---- 13700.302284663972 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [-1.0204081632653095, 5.102040816326527]]
106 ---- 22259.711683292087 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [5.102040816326527, 11.224489795918362]]
107 ---- 26726.90071597289 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [11.224489795918362, 17.3469387755102]]
107 ---- 40366.63131330912 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [17.3469387755102, 23.469387755102037]]
108 ---- 62813.69902789205 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [29.59183673469387, 35.71428571428571]]
108 ---- 52898.86435769901 ---- [[6.122448979591837, 8.16326530612245], [-7.142857142857146, -1.0204081632653095], [23.469387755102037, 29.59183673469387]]
108 ---- 636.8272329121761 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [-7.142857142857146, -1.0204081632653095]]
109 ---- 3133.095238275383 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [-1.0204081632653095, 5.102040816326527]]
109 ---- 6468.250768088712 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [5.102040816326527, 11.224489795918362]]
110 ---- 11521.513715406565 ---- [[6.122448979591837, 8.16326530612245], [-1.0204081632653095, 5.102040816326527], [11.224489795918362, 17.3469387755102]]
