 ----------------- 2022-08-02 15:35:34 ----------------- 69793.4481853251 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:35 ----------------- 0.5539866227771537 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:37 ----------------- 28369817.049664322 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:38 ----------------- 0.48855131586667505 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:39 ----------------- 2057555.4490164262 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:41 ----------------- 1.5689053330824059 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:42 ----------------- 466303.6795586538 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:35:43 ----------------- 1.0557028957903127 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:35:44 ----------------- 349410.14327554055 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [2.0, 4.0]]
 ----------------- 2022-08-02 15:36:15 ----------------- 0.4827947978977469 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:16 ----------------- 0.4952634205873322 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:18 ----------------- 0.4830509143001675 [[-1000.0, 0.0], [5.0, 10.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:19 ----------------- 0.6540642754548003 [[0.0, 1000.0], [5.0, 10.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:20 ----------------- 4.56710862321688 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:22 ----------------- 0.8032556690652707 [[0.0, 1000.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:23 ----------------- 1.815056342268063 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:24 ----------------- 0.6977019460647098 [[-1000.0, 0.0], [5.0, 10.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:25 ----------------- 7.084661822092198 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:27 ----------------- 245.9727940913031 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:28 ----------------- 256.9584150641451 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [0.0, 1000.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:29 ----------------- 20.02140205217387 [[-1000.0, 0.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:30 ----------------- 54.40880251470591 [[0.0, 1000.0], [0.0, 5.0], [0.0, 1000.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:32 ----------------- 441.0152988786229 [[0.0, 1000.0], [0.0, 5.0], [-1000.0, 0.0], [-1000.0, 0.0], [0.0, 2.0]]
 ----------------- 2022-08-02 15:36:33 ----------------- 18.19957206482995 [[-1000.0, 0.0], [0.0, 5.0], [-1000.0, 0.0], [0.0, 1000.0], [0.0, 2.0]]
